Q,A
오늘은 무엇을 할 거야,책 읽고 있어요
밥 먹었어?,네, 점심 먹었어요
어디 가고 싶어?,일본에 가고 싶어요
우리 언제 만날까?,내일 만나요
휴일에 뭐 할 계획이야?,영화 볼 거예요
요즘 어떤 책 읽고 있어?,요즘은 소설을 많이 읽어요
내일은 어떤 날일까?,즐거운 하루가 될 거예요
좋아하는 과일은 뭐야?,사과 좋아해요
가장 좋아하는 음식은?,불고기 좋아해요
나랑 놀자,좋아요, 언제 놀지요?
친구가 뭐 좋아해?,친구는 초콜릿을 좋아해요
저녁 뭐 먹을까?,스파게티 먹자
좋아하는 색은?,파란색 좋아해요
오늘 뭐 했어?,친구랑 카페 갔어요
어디에서 살고 싶어?,바닷가 근처가 좋아요
어떤 영화 보고 싶어?,액션 영화 보고 싶어요
가장 기억에 남는 여행지는?,파리였어요
가장 좋아하는 장소는?,바다 근처가 좋아요
행복을 느끼는 순간은?,친구들과 있을 때 행복해요
어떤 취미 있어?,영화 보기와 독서
아침에는 뭘 먹을 거야?,토스트와 커피
주말에 뭐 할 거야?,친구랑 영화 볼 거예요
여름 좋아해?,네, 여름이 좋아요
겨울 좋아해?,겨울은 별로 안 좋아해요
오늘 뭐 했어?,영화를 보고 왔어요
취미는 뭐야?,음악 듣는 걸 좋아해요
취미가 뭐야?,책 읽기를 좋아해요
요즘에 좋아하는 노래는?,아이유의 노래를 좋아해요
자주 가는 카페가 있어?,네, 근처에 자주 가는 카페 있어요
최근에 본 영화는?,"아바타"를 봤어요
어떤 장르의 영화 좋아해?,액션과 드라마 장르가 좋아요
오늘 점심은 뭐 먹었어?,불고기 먹었어요
저녁 뭐 먹을래?,떡볶이 먹고 싶어요
학교는 어디야?,서울에 있는 학교에 다녀요
최근에 본 책은?,"그리스 로마 신화" 책을 읽었어요
좋아하는 여행지는?,하와이가 좋아요
영화관은 자주 가니?,네, 주말마다 가려고 해요
게임은 자주 하니?,가끔씩 게임을 해요
가장 좋아하는 음식은?,김치찌개가 좋아요
어떤 옷을 좋아해?,편안한 옷을 좋아해요
가장 좋아하는 색은?,빨간색 좋아해요
가장 좋아하는 계절은?,가을을 좋아해요
어떤 나라에 가보고 싶어?,이탈리아 가보고 싶어요
가장 좋아하는 배우는?,톰 행크스를 좋아해요
어떤 운동을 좋아해?,축구를 좋아해요
운동 자주 해?,네, 주말마다 해요
가장 좋아하는 스포츠는?,배드민턴을 좋아해요
해외여행을 자주 가니?,가끔씩 가요
어떤 운동을 좋아해?,농구를 좋아해요
어떤 음식이 가장 맛있어?,스시가 가장 맛있어요
가장 좋아하는 드라마는?,"미스터 션샤인"이 좋아요
최근에 본 드라마는?,"이상한 나라의 앨리스"를 봤어요
음악을 자주 듣는 편이야?,네, 자주 들어요
책 읽기를 좋아해?,네, 독서가 취미예요
요즘에 자주 하는 일은?,운동하고 공부해요
가장 좋아하는 장소는?,도서관을 좋아해요
가장 좋아하는 영화는?,"인셉션"을 좋아해요
가장 좋아하는 음악은?,힙합을 좋아해요
가장 좋아하는 게임은?,롤을 좋아해요
최근에 갔던 곳은?,산책을 했어요
자주 가는 카페가 있어?,네, 친구들과 자주 가는 카페가 있어요
자주 사용하는 앱은?,유튜브를 자주 사용해요
최근에 간 영화관은?,CGV에서 봤어요
음악 취향은 어때?,힙합과 재즈를 좋아해요
좋아하는 스포츠팀은?,FC 바르셀로나를 좋아해요
영화에서 가장 기억에 남는 장면은?,"인셉션"의 꿈 속 꿈 장면이 기억에 남아요
자주 듣는 라디오 프로그램은?,라디오 스타를 자주 듣습니다
사랑하는 사람 있어?,네, 있습니다
어디에서 일하고 있어?,서울에서 일하고 있어요
가장 좋아하는 음식은?,초밥을 좋아해요
가장 좋아하는 장소는?,도서관이 좋아요
학교에서 어떤 과목을 좋아해?,수학을 좋아해요
집에서 자주 하는 일은?,음악을 듣고 책을 읽어요
가장 좋아하는 연예인은?,아이유를 좋아해요
최근에 본 영화는?,"그랜드 부다페스트 호텔"을 봤어요
가장 좋아하는 책은?,"해리포터" 시리즈가 좋아요
가장 좋아하는 드라마는?,"도깨비"가 좋아요
가장 좋아하는 게임은?,"마인크래프트"가 좋아요
요즘 자주 가는 카페는?,스타벅스를 자주 가요
요즘 자주 가는 음식점은?,국수집을 자주 가요
주말에 무엇을 할 거야?,친구와 여행 가기로 했어요
최근에 본 뉴스는?,환경 보호 관련 뉴스 봤어요
다음 주 계획은?,휴가를 가요
최근에 본 책은?,"그리스 로마 신화"를 읽었어요
가장 좋아하는 여행지는?,여행은 일본이 좋아요
어떤 음식을 잘 먹어?,스시를 잘 먹어요
가장 기억에 남는 여행지는?,파리였어요
가장 좋아하는 옷은?,편안한 티셔츠가 좋아요
가장 좋아하는 계절은?,봄을 좋아해요
오늘 기분 어때?,기분이 아주 좋아요
일이 잘 안 돼.,힘내요, 잘 될 거예요
커피 좋아해?,네, 커피 좋아해요
어디 가고 싶어?,산책 가고 싶어요
어떤 음식 좋아해?,일식이 좋아요
오늘은 무슨 날이야?,오늘은 특별한 날이에요
주말에 뭐 할 거야?,친구랑 놀러 갈 거예요
시험 준비는 어때?,열심히 준비하고 있어요
요즘 어떻게 지내?,잘 지내고 있어요
취미는 뭐야?,게임과 영화 보기
어떤 영화를 좋아해?,SF 영화 좋아해요
가장 좋아하는 색깔은?,하늘색 좋아해요
어떤 계절을 좋아해?,가을을 좋아해요
요즘 듣는 음악은?,클래식 음악을 자주 들어요
어떤 책 읽고 있어?,미스터리 소설 읽고 있어요
이따 뭐 할 거야?,친구랑 전화할 거예요
어떤 게임 좋아해?,전략 게임 좋아해요
운동 자주 해?,가끔씩 해요
운동은 무슨 운동 해?,조깅이나 수영 해요
최근에 본 영화는?,"인셉션"을 봤어요
가장 좋아하는 배우는?,정우성 배우를 좋아해요
가장 좋아하는 영화 장르는?,스릴러 영화 장르가 좋아요
최근에 본 드라마는?,"불가살"을 봤어요
취미가 뭐야?,사진 찍기 좋아해요
어떤 음식이 제일 맛있어?,김치찌개가 제일 맛있어요
학교는 어떻게 가?,버스를 타고 가요
자주 가는 식당이 있어?,네, 근처의 중국집을 자주 가요
최근에 갔던 여행지는?,서울에 다녀왔어요
어떤 곳을 여행하고 싶어?,유럽 여행을 가고 싶어요
오늘 점심은 뭐 먹었어?,볶음밥 먹었어요
주말에 어떤 계획 있어?,친구랑 공원에 갈 거예요
가장 기억에 남는 여행은?,부산 여행이 기억에 남아요
가장 좋아하는 운동은?,축구를 좋아해요
학교에서 뭐 배우고 있어?,수학을 배우고 있어요
가장 좋아하는 영화는?,"쇼생크 탈출"이 좋아요
다음 주에 뭐 할 거야?,여행을 떠날 거예요
요즘 자주 사용하는 앱은?,인스타그램을 자주 써요
가장 좋아하는 책은?,"1984"가 좋아요
좋아하는 음식은?,초밥을 좋아해요
요즘 즐기는 활동은?,피아노 치는 걸 즐겨요
친구랑 자주 어디 가?,카페에 자주 가요
어디에서 살고 싶어?,바닷가 근처에서 살고 싶어요
어떤 운동을 좋아해?,농구 좋아해요
가장 좋아하는 장소는?,영화관이 좋아요
여행을 자주 가니?,네, 여름마다 여행 가요
최근에 가본 카페는?,스타벅스 갔어요
아침에 뭐 먹을 거야?,시리얼 먹을 거예요
내일 뭐 할 거야?,영화 보고 책 읽을 거예요
주말 계획은?,친구들이랑 여행 가기로 했어요
휴가 계획은?,다음 달에 휴가 갈 예정이에요
어떤 영화 보고 싶어?,로맨스를 보고 싶어요
어떤 음악을 좋아해?,힙합을 자주 들어요
어떤 동물을 좋아해?,강아지를 좋아해요
가장 좋아하는 음료는?,오렌지 주스를 좋아해요
최근에 본 뉴스는?,환경 관련 뉴스 봤어요
최근에 읽은 책은?,"파친코"를 읽었어요
친구랑 자주 뭘 해?,쇼핑을 자주 해요
가장 좋아하는 활동은?,여행 가는 걸 좋아해요
이상형은 뭐야?,친절한 사람을 좋아해요
가장 좋아하는 음식은?,치킨이 좋아요
오늘 뭐 했어?,영화를 봤어요
최근에 봤던 영화는?,"기생충"을 봤어요
가장 좋아하는 드라마는?,"응답하라 1988" 좋아해요
어떤 일을 좋아해?,디자인 일을 좋아해요
어디에서 살고 싶어?,서울에서 살고 싶어요
오늘 점심은 뭐 먹을 거야?,라면 먹을 거예요
주말에 어떤 계획이 있어?,친구들과 운동할 거예요
최근에 가장 재미있었던 일은?,친구와 여행 갔던 게 제일 재밌었어요
가장 기억에 남는 순간은?,졸업식이 기억에 남아요
어떤 장소에서 휴식을 취하고 싶어?,바닷가에서 휴식하고 싶어요
좋아하는 가수는 누구야?,아이유를 좋아해요
주말에 무엇을 할 거야?,영화 보고 친구 만나기로 했어요
어떤 게임 좋아해?,롤을 좋아해요
요즘 어떤 일 하고 있어?,회사에서 일하고 있어요
어떤 종류의 음악을 좋아해?,클래식을 좋아해요
어떤 색깔 좋아해?,파란색을 좋아해요
오늘 날씨 어때?,오늘 날씨는 맑아요
좋아하는 계절은?,여름을 좋아해요
어디서 살고 싶어?,도시 근처에서 살고 싶어요
취미가 뭐야?,책 읽기 좋아해요
학교에서 뭐 배워?,역사를 배우고 있어요
자주 가는 카페는?,카페 드롭탑을 자주 가요
어떤 영화를 좋아해?,로맨스를 좋아해요
가장 좋아하는 음식은?,김치볶음밥을 좋아해요
휴가 계획은?,여름에 바다로 가고 싶어요
자주 가는 음식점은?,이탈리안 레스토랑을 자주 가요
주말에 뭐 할 거야?,친구랑 만나서 영화 볼 거예요
최근에 본 영화는?,"어벤져스" 봤어요
어떤 운동 좋아해?,수영 좋아해요
어떤 책 좋아해?,과학 책을 좋아해요
최근에 읽은 책은?,"미움받을 용기"를 읽었어요
가장 좋아하는 드라마는?,"도깨비"를 좋아해요
어떤 장소를 좋아해?,산을 좋아해요
여행 가고 싶어?,네, 여행 가고 싶어요
가장 기억에 남는 여행은?,유럽 여행이 기억에 남아요
친구랑 자주 가는 곳은?,공원에 자주 가요
내일 뭐 할 거야?,집에서 쉬려고 해요
가장 좋아하는 과목은?,영어를 좋아해요
자주 사용하는 앱은?,카카오톡을 자주 써요
어떤 종류의 영화 좋아해?,액션 영화를 좋아해요
가장 좋아하는 운동은?,농구를 좋아해요
최근에 간 여행지는?,강릉에 다녀왔어요
가장 좋아하는 음악 장르는?,힙합을 좋아해요
지금 하고 있는 일은?,책을 읽고 있어요
어디 가고 싶어?,해외로 여행 가고 싶어요
즐겨 보는 TV 프로그램은?,"무한도전"을 좋아해요
어떤 장소에서 쉴 거야?,바다에서 쉴 거예요
최근에 보고 싶은 영화는?,"기생충"을 보고 싶어요
영화 자주 봐?,네, 자주 봐요
오늘 점심은?,불고기 먹었어요
가장 좋아하는 음식은?,초밥이 좋아요
자주 가는 영화관은?,롯데시네마를 자주 가요
요즘 듣는 음악은?,락 음악을 자주 들어요
학교에서 뭐 배워?,과학을 배우고 있어요
최근에 자주 하는 활동은?,운동을 자주 해요
무슨 책을 좋아해?,소설을 좋아해요
가장 좋아하는 게임은?,롤을 좋아해요
어디에서 일하고 싶어?,서울에서 일하고 싶어요
자주 가는 카페는?,커피빈을 자주 가요
운동은 자주 해?,네, 주말마다 운동해요
어떤 운동을 좋아해?,배드민턴을 좋아해요
학교에서 제일 좋아하는 시간은?,체육 시간이 좋아요
어떤 영화 장르 좋아해?,로맨스를 좋아해요
최고의 여행지는 어디야?,파리에서 여행했을 때가 최고였어요
가장 좋아하는 가수는?,지드래곤을 좋아해요
어떤 색깔을 좋아해?,빨간색을 좋아해요
최근에 무엇을 배웠어?,프로그래밍을 배우고 있어요
자주 보는 유튜브 채널은?,IT 관련 채널을 자주 봐요
어떤 종류의 영화를 좋아해?,SF 영화를 좋아해요
가장 좋아하는 책은?,"어린 왕자"를 좋아해요
가장 좋아하는 스포츠는?,테니스를 좋아해요
좋아하는 음료는?,라떼를 좋아해요
내일 어떤 계획이 있어?,친구랑 점심 먹기로 했어요
영화 보고 싶어?,네, 보고 싶어요
가장 좋아하는 채소는?,시금치를 좋아해요
어떤 동물을 좋아해?,고양이를 좋아해요
주말에 무엇을 할 거야?,영화 보고 나가서 산책할 거예요
최근에 읽은 책은?,"동물농장"을 읽었어요
최근에 본 드라마는?,"슬기로운 의사생활"을 봤어요
어떤 종류의 음악을 좋아해?,클래식을 좋아해요
어디에서 자주 가?,도서관에 자주 가요
일주일에 몇 번 운동해?,주 3회 운동해요
좋아하는 커피는?,아메리카노를 좋아해요
최근에 본 뉴스는?,AI 관련 뉴스를 봤어요
어떤 운동을 좋아해?,헬스가 좋아요
영화를 많이 봐?,네, 자주 봐요
좋아하는 색은?,파란색을 좋아해요
어디에서 쇼핑해?,온라인 쇼핑을 자주 해요
좋아하는 브랜드는?,나이키를 좋아해요
최근에 본 유튜브 영상은?,프로그래밍 관련 영상을 봤어요
최근에 구매한 물건은?,새로운 노트북을 샀어요
어디서 자주 여행해?,제주도를 자주 가요
무슨 게임 좋아해?,플래피 버드가 좋아요
어디서 운동해?,헬스장에서 운동해요
오늘 뭐 먹을 거야?,비빔밥 먹을 거예요
친구랑 무엇을 할 거야?,게임을 할 거예요
어떤 활동을 좋아해?,사진 찍기를 좋아해요
오늘 날씨는 어때?,오늘은 맑고 기온이 적당해요
휴가 언제 갈 거야?,다음 달에 갈 예정이에요
어떤 영화 보았어?,"인터스텔라"를 봤어요
영화 추천할까?,"기생충"을 추천해요
좋아하는 간식은?,초콜릿을 좋아해요
어떤 운동 좋아해?,배구 좋아해요
무슨 요일이야?,오늘은 금요일이에요
요즘 보고 있는 드라마는?, "지금, 이 순간" 보고 있어요
가장 좋아하는 꽃은?, 장미가 좋아요
오늘 저녁 메뉴는?, 치킨 먹을 거예요
최근에 본 책은?, "생각하는 기술" 읽었어요
어떤 운동을 자주 해?, 요가를 자주 해요
오늘 기분은 어때?, 기분이 좋아요
가장 좋아하는 색깔은?, 초록색을 좋아해요
가장 좋아하는 영화는?, "인셉션"을 좋아해요
가장 좋아하는 음식은?, 떡볶이를 좋아해요
휴일에 뭘 하고 싶어?, 여행 가고 싶어요
어떤 커피를 좋아해?, 라떼를 좋아해요
가장 좋아하는 장소는?, 해변이 좋아요
어떤 책을 추천해?, "연금술사"를 추천해요
자주 가는 카페는?, 스타벅스를 자주 가요
어떤 취미가 있어?, 낚시가 취미예요
좋아하는 동물은?, 고양이가 좋아요
오늘 할 일은?, 영화 보기로 했어요
어떤 운동을 좋아해?, 자전거 타는 걸 좋아해요
가장 좋아하는 가수는?, 방탄소년단을 좋아해요
어디에서 쇼핑하나요?, 온라인 쇼핑몰을 자주 이용해요
영화 볼 때 무엇을 먹을까?, 팝콘을 먹어요
가장 기억에 남는 여행은?, 일본 여행이 기억에 남아요
가장 좋아하는 계절은?, 가을을 좋아해요
내일 할 계획은?, 친구 만나기로 했어요
주말에 무엇을 할 거야?, 쇼핑 갈 거예요
요즘 어떤 음식을 좋아해?, 샐러드를 좋아해요
최근에 본 영화는?, "알라딘" 봤어요
어떤 게임을 좋아해?, 롤을 좋아해요
가장 좋아하는 아이스크림 맛은?, 초코맛이 좋아요
자주 가는 레스토랑은?, 일식집을 자주 가요
내일 날씨는 어때?, 내일은 비가 올 것 같아요
최근에 배우고 있는 것은?, 새로운 언어를 배우고 있어요
가장 기억에 남는 책은?, "1984"가 기억에 남아요
어떤 스타일의 옷을 좋아해?, 캐주얼 스타일을 좋아해요
영화 보러 갈래?, 네, 같이 가고 싶어요
자주 가는 여행지는?, 제주도가 자주 가요
좋아하는 게임 장르는?, 전략 게임을 좋아해요
최근에 본 유튜브 영상은?, 개발 관련 영상 봤어요
여름에는 무엇을 할 거야?, 바다에서 수영할 거예요
가장 좋아하는 아티스트는?, 에드시런을 좋아해요
영화를 보러 가고 싶어?, 네, 가고 싶어요
어디에서 자주 운동해?, 헬스장에서 운동해요
좋아하는 과일은?, 딸기를 좋아해요
주말에 어디로 갈 거야?, 산책할 거예요
요즘 즐겨 듣는 노래는?, "불타오르네"를 자주 들어요
어떤 장소를 좋아해?, 숲을 좋아해요
나중에 하고 싶은 일은?, 세계 여행을 하고 싶어요
어디에서 살고 싶어?, 바다 근처에서 살고 싶어요
게임 잘해?, 잘 해요
게임은 자주 해?, 네, 자주 해요
영화 추천할까?, "인터스텔라"를 추천해요
좋아하는 패션 브랜드는?, 유니클로를 좋아해요
요즘 어떤 취미가 있어?, 요리하는 게 좋아요
가장 좋아하는 음식은?, 햄버거를 좋아해요
학교에서 뭐 배우고 있어?, 수학을 배우고 있어요
최고의 휴가는?, 바다에서 쉬는 게 최고예요
어디에서 살고 싶어?, 서울에서 살고 싶어요
어떤 종류의 영화를 좋아해?, 액션 영화를 좋아해요
자주 가는 도서관은?, 시립 도서관에 자주 가요
어떤 게임을 좋아해?, RPG 게임을 좋아해요
가장 좋아하는 색은?, 파란색을 좋아해요
책 읽는 걸 좋아해?, 네, 좋아해요
가장 좋아하는 드라마는?, "미생"을 좋아해요
어디에서 살고 싶어?, 뉴욕에서 살고 싶어요
즐겨 먹는 음식은?, 김치찌개를 자주 먹어요
최근에 보고 싶은 영화는?, "죽은 시인의 사회"를 보고 싶어요
취미는 뭐야?, 게임이 취미예요
다음 휴가 때 어디로 갈까?, 바다로 가고 싶어요
오늘 뭐 했어?, 운동했어요
지금 뭐 할 거야?, 책 읽을 거예요
자주 가는 가게는?, 스타벅스를 자주 가요
최근에 본 책은?, "해리포터"를 읽었어요
어떤 음악 장르를 좋아해?, 클래식을 좋아해요
가장 좋아하는 여행지는?, 제주도에요
친구랑 할 활동은?, 게임할 거예요
가장 기억에 남는 경험은?, 첫 해외 여행이 기억에 남아요
어떤 운동을 좋아해?, 배드민턴을 좋아해요
어떤 스타일의 옷을 좋아해?, 청바지와 티셔츠 스타일이 좋아요
좋아하는 게임은?, 피파를 좋아해요
가장 좋아하는 배우는?, 톰 행크스를 좋아해요
휴일에는 무엇을 할 거야?, 영화 보고 싶어요
좋아하는 스포츠는?, 축구를 좋아해요
어디서 일하고 싶어?, 창업을 하고 싶어요
오늘은 뭐 했어?, 친구랑 놀았어요
게임할 때 가장 좋아하는 것은?, 전략을 짜는 게 재밌어요
좋아하는 TV 프로그램은?, "무한도전"이 좋아요
가장 좋아하는 명절은?, 설날이 좋아요
어떤 음식을 자주 먹어?, 피자를 자주 먹어요
가장 좋아하는 계절은?, 겨울이 좋아요
어떤 운동을 자주 해?, 조깅을 자주 해요
최고의 여행지는?, 유럽 여행이 최고였어요
어떤 영화를 좋아해?, SF 영화를 좋아해요
가장 좋아하는 책은?, "백설공주에게 죽음을"이 좋아요
가장 좋아하는 색깔은?, 파란색을 좋아해요
좋아하는 취미는?, 그림 그리기를 좋아해요
가장 좋아하는 게임은?, "오버워치"를 좋아해요
좋아하는 과일은?, 사과를 좋아해요
취미가 뭐야?, 사진 찍기가 취미예요
요즘 어떤 운동을 해?, 필라테스를 해요
가장 기억에 남는 여행지는?, 일본 오사카 여행이 기억에 남아요
어떤 카페를 자주 가?, 분위기 좋은 카페를 자주 가요
어떤 음악을 듣고 싶어?, 재즈 음악이 듣고 싶어요
가장 좋아하는 음식은?, 김치찌개를 좋아해요
좋아하는 영화 장르는?, 공포영화를 좋아해요
어디서 자주 산책해?, 공원에서 자주 산책해요
어떤 패션을 좋아해?, 캐주얼 패션을 좋아해요
가장 좋아하는 가수는?, 아이유를 좋아해요
최근에 본 책은?, "어린 왕자"를 읽었어요
어디에서 일하고 싶어?, 외국에서 일해보고 싶어요
가장 좋아하는 게임 장르는?, 롤플레잉 게임을 좋아해요
자주 가는 곳은?, 근처 슈퍼마켓을 자주 가요
좋아하는 드라마는?, "응답하라 1988"이 좋아요
휴일에는 뭐 할 거야?, 영화를 보고 싶어요
게임할 때 좋아하는 캐릭터는?, 마리오가 좋아요
좋아하는 여행지는?, 제주도가 좋아요
주말에 뭐 할 거야?, 친구랑 나가서 놀 거예요
좋아하는 유튜버는?, "소련여자" 유튜버 좋아해요
가장 기억에 남는 생일은?, 25번째 생일이 기억에 남아요
자주 하는 운동은?, 헬스장에서 운동해요
어떤 스타일을 좋아해?, 스트리트 스타일을 좋아해요
최고의 영화는?, "어벤져스: 인피니티 워"가 최고였어요
친구랑 뭘 하고 싶어?, 함께 게임하고 싶어요
자주 하는 활동은?, 영화 감상이죠
가장 좋아하는 과목은?, 역사 과목을 좋아해요
최근에 본 영화는?, "기생충"을 봤어요
어떤 카페를 좋아해?, 커피 맛이 좋은 카페를 좋아해요
가장 좋아하는 아이스크림 맛은?, 초콜릿을 좋아해요
어떤 종류의 책을 좋아해?, 소설책을 좋아해요
어떤 스포츠가 재밌어?, 배드민턴이 재밌어요
요즘 어떤 취미가 있어?, 그림 그리기가 취미예요
가장 좋아하는 캐릭터는?, "해리포터"의 해리 포터를 좋아해요
어떤 영화 장르가 좋으세요?, 로맨스를 좋아해요
가장 좋아하는 명언은?, "행동이 말보다 더 크게 말한다"가 좋아요
어떤 음악을 즐겨 듣나요?, 힙합을 즐겨 듣죠
자주 가는 카페는?, 북카페를 자주 가요
자주 가는 장소는?, 도서관을 자주 가요
좋아하는 스포츠는?, 농구를 좋아해요
어떤 게임을 자주 해?, 전략 시뮬레이션 게임을 좋아해요
가장 기억에 남는 여행지는?, 발리 여행이 기억에 남아요
가장 좋아하는 책은?, "노르웨이의 숲"이 좋아요
어디서 주로 운동해?, 헬스장에서 운동해요
어떤 영화가 인상 깊었어?, "라라랜드"가 인상 깊었어요
게임에서 좋아하는 캐릭터는?, "리그 오브 레전드"의 애니를 좋아해요
휴일에 무엇을 할 거야?, 박물관에 갈 예정이에요
어떤 장소를 좋아해?, 자연을 좋아해요
가장 좋아하는 음식은?, 초밥을 좋아해요
가장 좋아하는 드라마는?, "도깨비"가 좋아요
게임할 때 좋아하는 캐릭터는?, "카트라이더"의 캐릭터를 좋아해요
가장 좋아하는 도시가 있어요?, 파리를 좋아해요
가장 좋아하는 스포츠는?, 배구를 좋아해요
어디에서 여행을 가고 싶어?, 유럽을 여행하고 싶어요
요즘 즐겨 듣는 노래는?, "롤링 인 더 딥"을 자주 들어요
학교에서 배우는 과목은?, 수학을 배우고 있어요
어디에서 쇼핑해?, 온라인 쇼핑몰에서 자주 해요
게임은 자주 해?, 네, 자주 해요
어떤 게임 장르가 재밌어?, 액션 게임을 좋아해요
어디에서 공부해?, 도서관에서 공부해요
가장 좋아하는 가수는?, 블랙핑크를 좋아해요
어떤 음식을 좋아해?, 초콜릿을 좋아해요
가장 좋아하는 운동은?, 탁구를 좋아해요
어떤 스타일의 옷을 좋아해?, 깔끔한 스타일을 좋아해요
가장 좋아하는 취미는?, 독서를 좋아해요
어떤 영화가 제일 재밌었어?, "어벤져스"가 재밌었어요
좋아하는 가수는?, 엑소를 좋아해요
